canopy,moisture,nutrient,mold_prob,temp_scaled,lux,shield_pos,LAI,leaf_biomass_g,root_biomass_g,stem_biomass_g,temp_c,energy_alt,_step,hour,step_progress,reward,cum_reward,terminated,truncated,energy,delivered_water,heater_power
0.0022,0.5,1.0,0.0022,0.625,0.4375,0.0,0.011,0.5,0.3,0.2,25.0,0.0,0,,,,,,,,,
0.0022,0.4988,0.7429,0.0022,0.625,0.4375,0.0,1.0,0.5016,0.3006,0.2007,24.84,,1,6.0,48.0,11.2182,11.2182,0.0,0.0,0.2031,0.0062,0.0
0.0022,0.4974,0.7428,0.0022,0.6209,0.6094,0.0,0.9930416666666666,0.5039,0.3014,0.2018,24.9,,2,7.0,48.0,12.6641,23.8823,0.0,0.0,0.406,0.0058,0.0
0.0022,0.4968,0.7428,0.0022,0.6224,0.75,0.0,0.9923062500000001,0.5067,0.3024,0.2031,25.08,,3,8.0,48.0,13.8252,37.7075,0.0,0.0,0.6106,0.0091,0.0
0.0022,0.4967,0.7428,0.0022,0.6269,0.8594,0.0,0.9686768749999999,0.5099,0.3036,0.2045,25.31,,4,9.0,48.0,14.7025,52.41,0.0,0.0,0.8168,0.0124,0.0
0.0023,0.4972,0.7428,0.0022,0.6328,0.9375,0.0,0.9443238125000001,0.5135,0.3049,0.2061,25.56,,5,10.0,48.0,15.3532,67.7631,0.0,0.0,1.0245,0.0153,0.0
0.0023,0.4983,0.7428,0.0023,0.6389,0.9844,0.0,0.9225891687499999,0.5172,0.3062,0.2078,25.77,,6,11.0,48.0,15.7841,83.5472,0.0,0.0,1.2336,0.0182,0.0
0.0023,0.4999,0.7428,0.0023,0.6444,1.0,0.0,0.9058124181250001,0.521,0.3076,0.2096,25.94,,7,12.0,48.0,15.9987,99.546,0.0,0.0,1.4442,0.0212,0.0
0.0023,0.5021,0.7428,0.0023,0.6485,0.9844,0.0,0.8956311926874999,0.5248,0.309,0.2113,26.04,,8,13.0,48.0,15.9926,115.5386,0.0,0.0,1.6562,0.0241,0.0
0.0023,0.5049,0.7427,0.0023,0.6511,0.9375,0.0,1.0,0.5285,0.3104,0.213,26.07,,9,14.0,48.0,15.6419,131.1804,0.0,0.0,1.8696,0.0267,0.0
0.0023,0.5081,0.7427,0.0023,0.6517,0.8594,0.0,1.0,0.5319,0.3116,0.2146,26.01,,10,15.0,48.0,15.0197,146.2001,0.0,0.0,2.0841,0.029,0.0
0.0024,0.5116,0.7427,0.0023,0.6502,0.75,0.0,1.0,0.5348,0.3127,0.216,25.85,,11,16.0,48.0,14.1213,160.3215,0.0,0.0,2.2993,0.0306,0.0
0.0024,0.5153,0.7427,0.0024,0.6464,0.6094,0.0,1.0,0.5373,0.3136,0.2171,25.61,,12,17.0,48.0,12.9379,173.2594,0.0,0.0,2.515,0.0313,0.0
0.0024,0.5189,0.7427,0.0024,0.6402,0.4375,0.0,1.0,0.539,0.3142,0.2179,25.26,,13,18.0,48.0,11.4619,184.7213,0.0,0.0,2.7304,0.0308,0.0
0.0024,0.5223,0.7427,0.0024,0.6316,0.2344,0.0,1.0,0.54,0.3146,0.2183,24.82,,14,19.0,48.0,9.6277,194.349,0.0,0.0,2.9449,0.029,0.0
0.0024,0.5248,0.7426,0.0024,0.6205,0.0,0.0,1.0,0.54,0.3146,0.2183,24.27,,15,20.0,48.0,7.3883,201.7374,0.0,0.0,3.1572,0.0246,0.0
0.0024,0.5265,0.7426,0.0024,0.6068,0.0,0.0,1.0,0.54,0.3146,0.2183,23.89,,16,21.0,48.0,7.3374,209.0748,0.0,0.0,3.3675,0.0205,0.0
0.0024,0.5273,0.7426,0.0024,0.5973,0.0,0.0,1.0,0.54,0.3146,0.2183,23.62,,17,22.0,48.0,7.3017,216.3765,0.0,0.0,3.5754,0.0159,0.0
0.0024,0.5272,0.7426,0.0024,0.5906,0.0,0.0,1.0,0.54,0.3146,0.2183,23.44,,18,23.0,48.0,7.2767,223.6533,0.0,0.0,3.781,0.0111,0.0
0.0024,0.5261,0.7426,0.0024,0.5859,0.0,0.0,1.0,0.54,0.3146,0.2183,23.31,,19,0.0,48.0,7.2593,230.9125,0.0,0.0,3.9841,0.0064,0.0
0.0024,0.5242,0.7426,0.0024,0.5826,0.0,0.0,1.0,0.54,0.3146,0.2183,23.21,,20,1.0,48.0,7.247,238.1595,0.0,0.0,4.1852,0.0021,0.0
0.0024,0.5219,0.7426,0.0024,0.5803,0.0,0.0,1.0,0.54,0.3146,0.2183,23.15,,21,2.0,48.0,7.2384,245.3979,0.0,0.0,4.3852,0.0,0.0
0.0024,0.5196,0.7425,0.0024,0.5787,0.0,0.0,1.0,0.54,0.3146,0.2183,23.1,,22,3.0,48.0,7.2324,252.6303,0.0,0.0,4.5852,0.0,0.0
0.0024,0.5173,0.7425,0.0024,0.5776,0.0,0.0,1.0,0.54,0.3146,0.2183,23.07,,23,4.0,48.0,7.2282,259.8585,0.0,0.0,4.7852,0.0,0.0
0.0024,0.5149,0.7425,0.0024,0.5768,0.2344,0.0,1.0,0.5409,0.3149,0.2188,23.29,,24,5.0,48.0,9.4268,269.2853,0.0,0.0,4.9852,0.0,0.0
0.0024,0.5126,0.7425,0.0024,0.5821,0.4375,0.0,1.0,0.5427,0.3156,0.2196,23.64,,25,6.0,48.0,11.358,280.6433,0.0,0.0,5.1852,0.0,0.0
0.0024,0.5108,0.7425,0.0024,0.5909,0.6094,0.0,1.0,0.5451,0.3165,0.2208,24.06,,26,7.0,48.0,13.0136,293.6568,0.0,0.0,5.3867,0.003,0.0
0.0024,0.5097,0.7425,0.0024,0.6014,0.75,0.0,1.0,0.5482,0.3176,0.2222,24.49,,27,8.0,48.0,14.3951,308.0519,0.0,0.0,5.5901,0.0068,0.0
0.0024,0.5093,0.7424,0.0024,0.6122,0.8594,0.0,1.0,0.5517,0.3188,0.2238,24.9,,28,9.0,48.0,15.5009,323.5528,0.0,0.0,5.7955,0.0107,0.0
0.0024,0.5098,0.7424,0.0024,0.6225,0.9375,0.0,1.0,0.5555,0.3202,0.2256,25.27,,29,10.0,48.0,16.2307,339.7835,0.0,0.0,6.0029,0.0148,0.0
0.0025,0.5108,0.7424,0.0024,0.6317,0.9844,0.0,1.0,0.5595,0.3217,0.2275,25.57,,30,11.0,48.0,16.6598,356.4434,0.0,0.0,6.2118,0.0178,0.0
0.0025,0.5123,0.7424,0.0025,0.6393,1.0,0.0,1.0,0.5637,0.3232,0.2295,25.8,,31,12.0,48.0,16.8213,373.2646,0.0,0.0,6.422,0.0205,0.0
0.0025,0.5143,0.7424,0.0025,0.645,0.9844,0.0,1.0,0.5678,0.3247,0.2314,25.94,,32,13.0,48.0,16.7108,389.9754,0.0,0.0,6.6336,0.0232,0.0
0.0025,0.5169,0.7424,0.0025,0.6486,0.9375,0.0,1.0,0.5717,0.3262,0.2333,26.0,,33,14.0,48.0,16.3215,406.2969,0.0,0.0,6.8465,0.0257,0.0
0.0025,0.5198,0.7423,0.0025,0.65,0.8594,0.0,1.0,0.5753,0.3275,0.235,25.96,,34,15.0,48.0,15.6446,421.9415,0.0,0.0,7.0604,0.0278,0.0
0.0025,0.5231,0.7423,0.0025,0.649,0.75,0.0,1.0,0.5785,0.3287,0.2365,25.82,,35,16.0,48.0,14.6699,436.6114,0.0,0.0,7.2751,0.0294,0.0
0.0026,0.5266,0.7423,0.0025,0.6455,0.6094,0.0,1.0,0.5811,0.3296,0.2377,25.58,,36,17.0,48.0,13.3872,449.9986,0.0,0.0,7.4901,0.03,0.0
0.0026,0.53,0.7423,0.0026,0.6396,0.4375,0.0,1.0,0.583,0.3303,0.2386,25.25,,37,18.0,48.0,11.7873,461.7858,0.0,0.0,7.7049,0.0295,0.0
0.0026,0.533,0.7423,0.0026,0.6312,0.2344,0.0,1.0,0.584,0.3307,0.2391,24.81,,38,19.0,48.0,9.7995,471.5854,0.0,0.0,7.9187,0.0277,0.0
0.0026,0.5352,0.7423,0.0026,0.6202,0.0,0.0,1.0,0.584,0.3307,0.2391,24.26,,39,20.0,48.0,7.3865,478.9719,0.0,0.0,8.1303,0.0232,0.0
0.0026,0.5367,0.7423,0.0026,0.6066,0.0,0.0,1.0,0.584,0.3307,0.2391,23.89,,40,21.0,48.0,7.3359,486.3078,0.0,0.0,8.3399,0.0192,0.0
0.0026,0.5373,0.7422,0.0026,0.5971,0.0,0.0,1.0,0.584,0.3307,0.2391,23.62,,41,22.0,48.0,7.3004,493.6082,0.0,0.0,8.5472,0.0146,0.0
0.0026,0.5369,0.7422,0.0026,0.5905,0.0,0.0,1.0,0.584,0.3307,0.2391,23.43,,42,23.0,48.0,7.2756,500.8838,0.0,0.0,8.7522,0.0099,0.0
0.0026,0.5356,0.7422,0.0026,0.5858,0.0,0.0,1.0,0.584,0.3307,0.2391,23.3,,43,0.0,48.0,7.2582,508.142,0.0,0.0,8.9548,0.0053,0.0
0.0026,0.5335,0.7422,0.0026,0.5826,0.0,0.0,1.0,0.584,0.3307,0.2391,23.21,,44,1.0,48.0,7.2461,515.3881,0.0,0.0,9.1553,0.001,0.0
0.0026,0.5312,0.7422,0.0026,0.5803,0.0,0.0,1.0,0.584,0.3307,0.2391,23.15,,45,2.0,48.0,7.2375,522.6256,0.0,0.0,9.3553,0.0,0.0
